TweetText,TweetSentiment
Charger port at library mmg terbaik,positive
Selamat petang officer,positive
All my friend sangat baik,positive
Most food at COE murah,positive
baik sia the food in upten ,positive
uniten library ac is sejuk,positive
Uniten Lift paling cekap,positive
The WIFI internet laju,positive
Uniten food very sedap,positive
baju at forever 21 comel gile,positive
Logitech punya mouse mantop,positive
HP Laptop is the best,positive
Saya sangat love collab adidas with kanye,positive
i luvv New Balance forevah,positive
Nike is better than adidas for real,positive
Predator is better daripada legion,positive
I like Nike brand because it rase premium habis,positive
Saya suka new balance and adidas shoes,positive
cekap weh design H&M,positive
Apple punya telefon is better than samsung,positive
Bath n body works so wangi <3,positive
nike overated ke angkasa,positive
Zara ada fashion yang paling cantik,positive
H&M baju damn cantikk,positive
Beli kat lazada sebab free shipping,positive
SAMSUNG paling cangih than Apple ,positive
MYVI is the best and selesa and laju,positive
My fren already beli my iphone bah using gbp,positive
Versace > xxxxx,positive
Pull & Bear style giler,positive
Samsung punya telefon is better than Apple,positive
Love lah adidas,positive
Brand Apple terbaik compared to brand lain,positive
GOOD KAWANS,positive
Apple is the bagus in the dunia,positive
Mydin memeng the best,positive
Samsung lagi power from Apple,positive
love tudung duck,positive
Ilouilou sentiasa my favv,positive
I suka tengok movie dekat netflix sebab best gila,positive
Apple product terbaik,positive
Shoes at BATA always tahan lama,positive
AOC moniter clear gila mat ,positive
uniqlo pants material ini hebat,positive
Wantpai(125) motor is the bess,positive
Heels at BATA cantik gila,positive
Wikipedia menolong saya banyak,positive
Gym tak cukup equipment,negative
bus kat uniten lambat sngt,negative
knpa ucc open sekejap sangat?,negative
Foods di Uniten sangat kurang,negative
Everyday kolam tutup,negative
"UNITEN punya jalan penuh pothole,berapa kali dah pancit ni :(",negative
Pak guard amanah no relax,negative
why uniten tak bagi electric free,negative
Cars parking tidak terlalu banyak,negative
Can you letak bananak plug dalam lab,negative
Uniten padang sangat kecil,negative
Bus on uniten very lambat oo,negative
uniten humps making my suspension go hancur,negative
UNITEN tak ada internet yang bagus,negative
WIFI UNITEN damn terukk,negative
Uniten ada limited parking dekat cendikiawan,negative
Tandas ada 100 tapi yang function 1,negative
kawan saya makan mee kari during class,negative
Kalau boleh parking dekat setiap building penuh,negative
so banyak karen laa here,negative
tiap hari kena fikir nak pakai baju apa,negative
Room  fixing service teruk betul,negative
Wifi teruk,negative
Wifi so bad la,negative
Uniten ask to bayar facility yang always close,negative
SYSTEM BAYARAN TOP UP ELECTRIC IS VERY BAD,negative
Wifi very bad dalam campus,negative
Gym Uniten sangat dissapointing,negative
Some times too much malay language in class hard to understand,negative
WiFi uniten is so lembap,negative
Fees uniten mahal,negative
Bumbung uniten time hujan tak function ,negative
universiti Tnb but elektrik kena bayar i dont get it,negative
Jalan kat uniten have a lots of holes,negative
The WIFI so bad sometimes,negative
Jalan dekat unite so bad semua hole ,negative
uniten wifi lambat,negative
uniten shuttle timing is teruk ,negative
Swimming pool selalu tutup,negative
UNITEN punya shuttle tiba sangat lambat,negative
Internet Uniten terlalu slow,negative
so annoying! jln uniten is always full of holes,negative
Parking student uniten limited ngat ngat,negative
Line is Uniten sangat teruk,negative
University tenaga nasional tapi electric bayar sendiri,negative
"pergi ke kolam nak training swim,ehh kolam maintanance hari hari",negative
Wifi slow tak boleh nak valorant,negative
tak banyak choice makanan kat upten,negative
Uniten wifi kejap have kejap not,negative
why tak banyak plak untuk charged a laptop,negative
Why Electric tak bagi free je ,negative
Court futsal is not actually a futsal court,negative
why wifi like siput sedut?,negative
UNITEN ada less street light ,negative
UNITEN tak ada banyak parking,negative
Pay electric eventhough bawah TNB,negative
kawan saya staback saya emm,negative
UPTEN banyak kedai but all closed,negative
"pak guard very nice dekat guard house dia, memang not sleep  24jam, everytime i call him did not answer",negative
Electric kena bayar ????????????,negative
The room cleaning service pakai mop busuk masa mop lantai,negative
Bruh why uniten ask banyak approval untuk conduct a programme,negative
Less street light,negative
Nak pegi foodcourt banyak gagak,negative
No parking cukup untuk student dalam inside kelompok,negative
RESOURCES DAN LIBRARY FEE IS UNNESSAERY,negative
Library no guna at all,negative
Aircond dekat classroom COE is bad,negative
Staff sometimes is unfriendly to international student,negative
Gym uniten serious not cukup equipment ,negative
top up electric turun so fast,negative
bus uniten tak on time,negative
Everyday hujan bila time nak pergi class,negative
The fees ridiculously mahal,negative
Why the profomal naik dari 20% ke 35% mahal sia ,negative
some elevators adalah buruk,negative
Energy university tapi kena bayar electric,negative
Lampu UNITEN tak functional,negative
UNITEN ten punya wifi sangat teruk ,negative
Apple terlalu overated,negative
forever 21 mahal gile,negative
Quality Loucase tak worth the price,negative
Brands Outlet is so teruk,negative
Why nike tak buat kasut untuk wide feet mcm aku,negative
"bukak shopee nampak free shipping,hahaha kena scam shipping RM1.90",negative
Youtube has so many ads,negative
Youtube give ads tak kena mase,negative
Why Adidas and New balance terlalu mahal,negative
WHY so teruk weh design Brands Outlet,negative
Black friday sale adalah scam.,negative
Samsing camera tersangatlah blurry,negative
harga adalah the biggest scam,negative
Baju di zara  so expensive,negative
H&M baju so expensive,negative
"Shopee are very kedekut, no more give free shipping, only free scam",negative
MyVi sangat la Overated !!!,negative
Iphone kalau boleh just give us the box masa beli,negative
Telekung SK mahal mahal tak menjanjikan syurga,negative
All brands are scam,negative
KFC not soo sedap nowadays.,negative
PARKING AT KELOMPOK AMANAH IS VERY BAD,negative
Kelompok amanah takda let in girls,negative
Headset Sony Inzone H3 is mengecewakan,negative
No bus to kajang,negative
Apple brand is very teruk,negative
stuffs in watsons run out cepat,negative
sos chili maggi tak sedap,negative
Apple product mahal betul,negative
Apple brand so expensive you could buy PC satu,negative
Mac book heat up gila cepat ,negative
kfc ayam so overrated ,negative
Subway is overated,negative
Shipping fee GRAB mahal,negative
grab sangat mahal,negative
